id,external_id,sku,mpn,mpn_normalized,manufacturer,name,status
7946,ФР-00001067,,,,,Элемент питания литиевый PANASONIC BR1225 3V 48mAh /Китай/,active
7996,ФР-00001124,,,,,Panasonic Lithium CR2 BP Эл. питания.Производство: Индонезия,active
8011,ФР-00001144,,,,,"Аккумуляторная батарея Panasonic LC-R127R2PG1 12В, 7,2Ач",active
8019,ФР-00001157,,,,,HHR-200AB PANASONIC (Элемент питания),active
8087,ФР-00001236,,CR2450,cr2450,Panasonic,"Литиевая батарейка Panasonic CR2450, 3 В",active
8089,ФР-00001238,,,,,"LR44 1,5 Panasonic alkaline алкалиновая батарейка Производство: Китай. Ввоз: Гонконг",active
8090,ФР-00001239,,,,,"LR41 1,5 Panasonic alkaline алкалиновая батарейка Производство: Китай. Ввоз: Гонконг",active
8091,ФР-00001240,,,,,"LR54 (AG10) 1,5 Panasonic alkaline алкалиновая батарейка Производство: Китай. Ввоз: Гонконг",active
8192,ФР-00001344,,CR-123A,cr123a,Panasonic,"Батарея Panasonic CR-123A, 9 шт.",active
8279,ФР-00001438,,,,FIAMM,Аккумуляторная батарея FIAMM FG20722 12V/7.2Ah,active
28,ФР-00001439,,FG21202,fg21202,FIAMM,Аккумуляторная батарея FIAMM FG21202,active
8331,ФР-00001496,,,,,"Элемент питания PANASONIC CR123 bl 1, страна происхождения - ИНДОНЕЗИЯ",active
8332,ФР-00001497,,,,,"Батарея  PANASONIC 8хCR-123APA/B, пр-во Япония, страна ввоза Россия",active
34,ФР-00001513,,FG21803,fg21803,FIAMM,Аккумуляторная батарея FIAMM FG21803,active
8459,ФР-00001631,,,,,"Ионистор EECS0HD334V (Panasonic) terminal V, 0.33F, 5.5V Страна ввоза: Гонконг",active
8498,ФР-00001678,,,,,"Элемент питания PANASONIC 4*CR-123APA/B, 6V 3000mAh,пр-во Япония, страна ввоза Россия",active
8500,ФР-00001680,,,,,"HHR-120AAB PANASONIC (Элемент питания),стр. ввоза Россия",active
8516,ФР-00001698,,,,,Эл. питания литиевый PANASONIC BR2330 с выводами (1HF1) 3V Производство: Япония,active
8600,ФР-00001785,,,,FIAMM,Аккумуляторная батарея FIAMM FG10451 6V/4.5Ah,active
8607,ФР-00001793,,,,,Батарейка PANASONIC BR-2/3AGCT4A Произ-во: Китай Ввоз: Литва,active
8740,ФР-00001946,,,,,"Элемент питания PANASONIC 2*CR-123APA/B, пр-во Япония, страна ввоза Россия",active
8789,ФР-00002000,,,,,"Эл. питания литьевый PANASONIC CR123A, производство Индонезия",active
8859,ФР-00002072,,,,,Конденсатор 1000х25В 105С Panasonic EEUFR1E102,active
8895,ФР-00002108,,12FGH36,12fgh36,FIAMM,Батарея FIAMM 12FGH36 12V 9Ah,active
8900,ФР-00002113,,,,,"Батарея FIAMM 12FGH36 12V 9Ah, страна происхождения Вьетнам",active
8945,ФР-00002168,,,,Panasonic,Panasonic VL2020,active
8967,ФР-00002192,,,,Panasonic,Panasonic eneloop BK-4MCCE / AAA,active
9064,ФР-00002312,,,,,"Аккумулятор Panasonic NCR18650BD- 3200mAh-10A;страна происхождения Корея,Сеул",active
