Bitrix ID,Название сайта,Бренд
1723,"Аккумулятор Sonnenschein Dryfit A602/225 для ИБП (GEL, OPzV, 225Ah)",4678
1724,"Аккумулятор Fiamm SMG 2250 для ИБП (GEL, 2250Ah)",4634
1727,"Аккумулятор Fiamm 2SLA250 (AGM, 250Ah)",4634
1728,"Аккумулятор Fiamm LM/S 2550 для ИБП (OPzS, 2550Ah)",4634
1732,"Аккумулятор Sonnenschein Dryfit A602/2740 для ИБП (GEL, OPzV, 2740Ah)",4678
1734,"Аккумулятор Fiamm LM/S 2750 для ИБП (OPzS, 2750Ah)",4634
1735,"Аккумулятор Fiamm SMG 275 для ИБП (GEL, 275Ah)",4634
1736,"Аккумулятор Fiamm SMG 2800 для ИБП (GEL, 2800Ah)",4634
1737,"Аккумулятор Sonnenschein Dryfit A602/280 для ИБП (GEL, OPzV, 280Ah)",4678
1739,"Аккумулятор Marathon L2V270 (AGM, 270Ah)",4652
1740,"Аккумулятор Marathon L2V270 V0 (AGM, 270Ah)",4652
1741,"Аккумулятор Fiamm LM/S 2900 для ИБП (OPzS, 2900Ah)",4634
1742,"Аккумулятор Fiamm LM/S 290 для ИБП (OPzS, 290Ah)",4634
1744,"Аккумулятор Fiamm 2SLA300 (AGM, 300Ah)",4634
1745,"Аккумулятор Fiamm LM/S 3260 для ИБП (OPzS, 3260Ah)",4634
1747,"Аккумулятор Sonnenschein Dryfit A602/3300 для ИБП (GEL, OPzV, 3300Ah)",4678
1750,"Аккумулятор Fiamm 2SLA330 (AGM, 330Ah)",4634
1752,"Аккумулятор Fiamm SMG 330 для ИБП (GEL, 330Ah)",4634
1753,"Аккумулятор Fiamm SMG 3350 для ИБП (GEL, 3350Ah)",4634
1754,"Аккумулятор Sonnenschein Dryfit A602/335 для ИБП (GEL, OPzV, 335Ah)",4678
1756,"Аккумулятор Marathon L2V320 (AGM, 320Ah)",4652
1757,"Аккумулятор Marathon L2V320 V0 (AGM, 320Ah)",4652
1758,"Аккумулятор Fiamm LM/S 360 для ИБП (OPzS, 360Ah)",4634
