Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение
25312,Источник бесперебойного питания IНЭЛТ Gamma 3K IN3000RM-GA-1,25307,КА-00003883,,ИБП серии GAMMA 3K (IN3000RM-GA-1),GAMMA3KIN3000RMGA,no,0.95,sig,,new
25313,Источник бесперебойного питания IНЭЛТ Gamma 3KR IN3000RM-GA-KR-KS,25307,КА-00003883,,ИБП серии GAMMA 3K (IN3000RM-GA-1),IN3000RMGA,no,0.95,sig,,new
25314,Источник бесперебойного питания IНЭЛТ Gamma 3KR IN3000RM-GA-KR-KS-TW-IEC,25307,КА-00003883,,ИБП серии GAMMA 3K (IN3000RM-GA-1),IN3000RMGA,no,0.95,sig,,new
25315,Источник бесперебойного питания IНЭЛТ Gamma 3KR IN3000RM-GA-KR-KS-TW-SCH,25307,КА-00003883,,ИБП серии GAMMA 3K (IN3000RM-GA-1),IN3000RMGA,no,0.95,sig,,new
25316,Источник бесперебойного питания IНЭЛТ GAMMA 3К 3000VA,,КА-00006872,,Источник бесперебойного питания APC Smart-UPS 3000VA (SMT3000IC) / Китай,3000VA,yes,0.95,sig+brand,КА-00006872,agree
25318,Источник бесперебойного питания IНЭЛТ Gamma 3KL IN3000RM-GA-KL,25307,КА-00003883,,ИБП серии GAMMA 3K (IN3000RM-GA-1),IN3000RMGA,no,0.95,sig,,new
25319,Источник бесперебойного питания IНЭЛТ BETA 3К IN3000-ВЕ LCD,25307,КА-00003956,,Источник бесперебойного питания серии SIGMA KS 3К (IN3000-SI-KS),3КIN3000,no,0.85,sig,,new
25785,"Аккумулятор Ventura GPL 12-7.5 (AGM, 7.5Ah)",,КА-00003668,,"Аккумулятор Ventura GPL 12-7.5, ВЬЕТНАМ",VENTURAGPL127,yes,0.6,sig+brand+generic,КА-00003227,differ
25786,"Аккумулятор Ventura GPL 12-18 (AGM, 18Ah)",,КА-00003579,,"Аккумулятор Ventura GPL 12-18/AGM, ВЬЕТНАМ",GPL1218AGM,yes,0.95,sig+brand,КА-00000855,differ
25787,"Аккумулятор Ventura GPL 12-7.2 (AGM, 7.2Ah)",,КА-00001362,О4.3.52.73.,"Аккумуляторная батарея Ventura GPL 12-7.2 (12V 7,2Ah) ВЬЕТНАМ",VENTURAGPL127,yes,0.6,sig+brand+generic,КА-00000252,differ
25788,"Аккумулятор Ventura GPL 12-9 (AGM, 9Ah)",,КА-00001374,,"Аккумуляторная батарея VENTURA GPL 12-9 (12V/9Ah), ВЬЕТНАМ",VENTURAGPL129,yes,0.95,sig+brand,КА-00001374,agree
25829,"Аккумулятор Leoch FT12-55 (AGM, 55Ah)",4649,КА-00000347,,Аккумуляторная батарея Ritar FT12-55 страна происхождения - Китай,FT1255,no,0.85,sig,,new
25833,"Аккумулятор Leoch FT12-100A (AGM, 12V, 100Ah)",4649,КА-00003031,,"Аккумулятор Ventura FT 12-100 (12V100Ah),Китай",12V100AH,no,0.6,sig+generic,,new
25834,"Аккумулятор Leoch FT12-100H (AGM, 12V, 100Ah)",4649,КА-00003031,,"Аккумулятор Ventura FT 12-100 (12V100Ah),Китай",12V100AH,no,0.6,sig+generic,,new
25835,"Аккумулятор Leoch FT12-125 (AGM, 12V, 125Ah)",4649,КА-00002317,,Аккумулятор Delta FT 12-125 M,FT12125,no,0.85,sig,,new
25838,"Аккумулятор Leoch FT12-200 (AGM, 200Ah)",4649,КА-00003906,,"Аккумулятор Ventura  FT 12-200 (12V, 200Ah)",FT12200,no,0.6,sig+generic,,new
25937,"Аккумулятор Atlas Battery (LiFePO4, 480Ah, 48V)",25883,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25938,"Аккумулятор Atlas Battery (LiFePO4, 525Ah, 48V)",25883,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25981,"Аккумулятор Kanavno LFP1224 (LiFePO4, 24Ah, 12.8V)",25974,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25982,"Аккумулятор Kanavno LFP1206 (LiFePO4, 6Ah, 12.8V)",25974,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25983,"Аккумулятор Kanavno LFP1208 (LiFePO4, 8Ah, 12.8V)",25974,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25984,"Аккумулятор Kanavno LFP24100 (LiFePO4, 100Ah, 24V)",25974,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
25992,"Аккумулятор LiitoKala LFP12100 (LiFePO4, 100Ah, 12.8V)",20378,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new
