Bitrix ID раздела,Родитель ID,Название,Путь на сайте,Ссылка на сайт,🟥 1С-группа (заполнить)
691,482,GE,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ge,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ge/,
692,482,General Meditech,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/general-meditech,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/general-meditech/,
693,482,Grason,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/grason,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/grason/,
694,482,Hamilton,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hamilton,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hamilton/,
695,482,Heine,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/heine,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/heine/,
696,482,Hellige,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hellige,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hellige/,
697,482,HillRom,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hillrom,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hillrom/,
698,482,Hitachi,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hitachi,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/hitachi/,
699,482,Honda,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/honda,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/honda/,
700,482,Horron,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/horron,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/horron/,
