row_number,product_external_id,name,rule,scope_reason
803,КА-00000831,"021685 Блокнот А7 40л кл.н/греб.обл.лам,Index синий INLcl-7/40bu страна происхождения Россия",unclassified,office
846,КА-00000874,"Наклейки 31*26, пленка самокл., 1 компл=200шт.",unclassified,office
910,КА-00000938,Самоклеящаяся этикетка напечанная 50*25,unclassified,office
1020,КА-00001051,020796 Скобы №10 Index 1000шт IS10 страна происхождения Китай,unclassified,office
1058,КА-00001090,"GCH132 TRW Трос, стояночная тормозная система; страна ввоза - РФ",unclassified,automotive
1138,КА-00001170,Печать на самоклеющейся пленке,unclassified,office
1169,КА-00001201,"Конс.мол.""МОЛ.СГУЩ.""(цельн,8.5%,кол)380г",unclassified,food
1177,КА-00001209,Нож кухонный поварской (20 см),unclassified,household
1248,КА-00001280,Самоклеящаяся этикетка напечанная 30*25,unclassified,office
1249,КА-00001281,Этикетка с/к 40*25 ТЭКО 1000 эт./рул,unclassified,office
1258,КА-00001290,Этикетка с/к 58*40 ТЭКО 1000 эт./рул.РБ 0580403010005000,unclassified,office
1287,КА-00001320,116477 Наклейки на клавиатуру черн. с желт. рус. и белыми англ. буквами страна происхождения Китай,unclassified,office
1288,КА-00001321,Этикетка с/к 58*40 700эт./рул.,unclassified,office
1342,КА-00001375,"Кухонные весы FIRST Austria FA-6401-1 (голубой), страна производитель КИТАЙ",unclassified,household
1381,КА-00001414,Этикетка с/к 58*40 ТЭКО 700 эт./рул.,unclassified,office
1403,КА-00001436,Карандаш ч/г (260820),unclassified,office
1415,КА-00001448,"039986 Файл А4+ 30мкм Economix гладк., глянц.,100шт. 31106 страна происхождения Украина",unclassified,office
1430,КА-00001463,"047792 Файл А4 30мкм Berlingo гладк., глянц., 100шт. S1000 страна происхождения Россия",unclassified,office
1435,КА-00001468,016624 блокнот А5 40л кл.н/греб.об.карт.ВД-лак Корпоратив зеленый 40BG5M5KOG страна происх. Россия,unclassified,office
1436,КА-00001469,"069821 Блокнот ~ А5 40л.,н/греб.б/графл.,обл.мел.карт.Абстракция С4172-30 страна происхожд.Россия",unclassified,office
1459,КА-00001492,"наклейки 39*43мм, глянцевая пленка (1комплект=300шт)",unclassified,office
1471,КА-00001504,"этикетки самоклеящиеся 75*120/40-300 Т.Эко, Беларусь",unclassified,office
1486,КА-00001519,"000542 Ластик со скошен.краями, комбинирован. бел./серый",unclassified,office
1488,КА-00001521,012110 Лезвия д/ножей 18мм Stanger 10шт в пласт.контейнере,unclassified,household
1492,КА-00001525,"Конф. гл ""PETER RONNEN"" (нуг,кар,орех) 200г",unclassified,food
1571,КА-00001604,"012616 Блокнот А/5*, 48л,н/греб.кл.обл.мел.карт.ассорти С28/ас. страна происхождения Россия",unclassified,office
1574,КА-00001607,"Календарь квартальный А4, шапка/3 рекл, поля 350 г/м2, 4+0, 2 ст. мат. ламинация, стандартная сетка",unclassified,office
1601,КА-00001634,TITAN GT1 PRO C-3 5W30 1L Масло моторное синтет 601426414; страна ввоза - РФ,unclassified,automotive
1602,КА-00001635,TITAN GT1 PRO C-3 5W30 4L Масло моторное синтет; страна ввоза - РФ,unclassified,automotive
1624,КА-00001657,"Наклейка 10*30 мм, саморазруш. пленка, комплект 2000шт.",unclassified,office
1712,КА-00001746,Подставка для ножей пластиковая с крышкой,unclassified,office
1713,КА-00001747,подставка для ножей пластиковая  с нитями,unclassified,office
1780,КА-00001814,Пластиковый корпус GPS-локатора (кв),unclassified,office
1781,КА-00001815,Пластиковый корпус GPS-локатора (лапка),unclassified,office
1810,КА-00001844,007051 Каранадаш ч/г ТМ Dark заточ. с ластик.цв.асс.корп.чер,unclassified,office
1855,КА-00001890,K1316 Фильтр салона FILTRON; страна ввоза-Польша,unclassified,automotive
1856,КА-00001891,AP113/6 Фильтр воздушный FILTRON; страна ввоза-Польша,unclassified,automotive
1929,КА-00001965,"Наклейки 38*44мм, глянцевая пленка",unclassified,office
2018,КА-00002057,"Наклейка 49*34 мм, резка пленки, компл. 17500 шт.",unclassified,office
2100,КА-00002139,HU 719/7X Фильтр масляной; страна ввоза - Польша,unclassified,automotive
2102,КА-00002141,COMMA 5W30 XTECH (1L)масло моторное XTC1L; страна ввоза РФ,unclassified,automotive
2103,КА-00002142,FAVORIT STAHLSYNT Inteliect SL 10W40 API 5л Масло моторное; страна ввоза-РФ,unclassified,automotive
2104,КА-00002143,AP157/4 Фильтр воздушный; страна ввоза - Польша,unclassified,automotive
2132,КА-00002172,ОС1183 KNECHT Фильтр масляный; страна ввоза - Австрия,unclassified,automotive
2313,КА-00002357,"065951 Карандаш ч/г ТМ Green Series б/ласт.,заточ.,корп.пл.асс.ВР00860",unclassified,office
2314,КА-00002358,"047592 Ластик Berlingo Animals прямоуг.,ассорти Blc_00150 страна происхождения Китай",unclassified,office
