Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение,exclusion_reasons,selection_rule_version
20150,"Аккумулятор Delta FT 12-105 M (AGM, 105Ah)",,КА-00001863,,Аккумуляторная батарея Delta FT 12-50 M,DELTAFT12,yes,0.6,sig+brand+generic,КА-00002602,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20151,"Аккумулятор Delta FT 12-125 M (AGM, 125Ah)",,КА-00002317,,Аккумулятор Delta FT 12-125 M,DELTAFT12125,yes,0.95,sig+brand,КА-00002317,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20152,"Аккумулятор Delta FT 12-150 M (AGM, 150Ah)",,КА-00001863,,Аккумуляторная батарея Delta FT 12-50 M,DELTAFT12,yes,0.6,sig+brand+generic,КА-00001614,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20153,"Аккумулятор Delta FT 12-180 M (AGM, 180Ah)",,КА-00001863,,Аккумуляторная батарея Delta FT 12-50 M,DELTAFT12,yes,0.6,sig+brand+generic,КА-00001614,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20161,"Аккумулятор Delta XPERT HRL 12-350 W (AGM, 75Ah)",,КА-00001618,,Аккумуляторная батарея HRL12-350W Delta-12V 75Ah,HRL12350W,no,0.85,sig,КА-00000259,differ,confidence_not_0_95;brand_not_confirmed,rb-1c-review-v1
20164,"Аккумулятор Delta XPERT HRL 12-650 W (AGM, 150Ah)",,КА-00004972,,Аккумулятор Ventura HRL 12650W,HRL12650W,no,0.85,sig,КА-00000259,differ,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20170,"Аккумулятор Delta XPERT HRL 12-260W (AGM, 55Ah)",,КА-00005338,,Аккумуляторная батарея HRL 12-260W (VENTURA) /Вьетнам/,HRL12260W,no,0.85,sig,КА-00000259,differ,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20172,"Аккумулятор Delta XPERT HRL 12-155 W (AGM, 28Ah)",,КА-00003302,,Аккумуляторная батарея HRL 12-155 W (12V28Ah),HRL12155W,no,0.85,sig,КА-00000259,differ,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20173,"Аккумулятор Delta XPERT FTS 12-50 X (AGM, 50Ah)",,КА-00006758,,Аккумуляторная батарея Delta FTS 12-50 X /Китай/,FTS1250X,yes,0.95,sig+brand,КА-00006758,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20175,"Аккумулятор Delta XPERT FTS 12-100 X (AGM, 100Ah)",,КА-00006757,,Аккумуляторная батарея Delta FTS 12-100 X /Китай/,FTS12100X,yes,0.95,sig+brand,КА-00006757,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20176,"Аккумулятор Delta XPERT FTS 12-105 X (AGM, 105Ah)",,КА-00005743,,Аккумуляторная батарея Delta FTS 12-105 X /Китай/,FTS12105X,yes,0.95,sig+brand,КА-00005743,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20179,"Аккумулятор Delta XPERT FTS 12-150 X (AGM, 150Ah)",,КА-00007126,,Аккумуляторная батарея Delta FTS 12-150 X,FTS12150X,yes,0.95,sig+brand,КА-00007126,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20180,"Аккумулятор Delta XPERT FTS 12-180 X (AGM, 180Ah)",,КА-00005187,,"Аккумуляторная батарея Delta FTS 12-180 X, QHI3MS8 /Вьетнам/",FTS12180X,yes,0.95,sig+brand,КА-00005119,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
20191,"Аккумулятор Delta XPERT STC 2000 (AGM, 2000Ah)",4622,КА-00005467,,Аккумулятор Cameron Sino Ni-MH CS-RBS950BL 7.2V 2000Ah /Китай/,2000AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23791,"Внешний батарейный блок APC SURT192XLBP (AGM, 10Ah)",20089,КА-00005708,,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",AGM10AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23793,"Внешний батарейный блок APC SRT192RMBP2 (AGM, 10Ah)",20089,КА-00005708,,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",AGM10AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23808,"Внешний батарейный блок APC SRT192RMBP (AGM, 10Ah)",20089,КА-00005708,,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",AGM10AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23809,"Внешний батарейный блок APC SURT192RMXLBP (AGM, 11Ah)",,КА-00006114,,Аккумулятор свинцо-кислотный APC SURT192RMXLBP-CH /Китай/,APCSURT192RMXLBP,no,0.95,sig,КА-00006114,agree,brand_not_confirmed,rb-1c-review-v1
23810,"Внешний батарейный блок APC SMX120RMBP2U (AGM, 10Ah)",20089,КА-00005708,,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",AGM10AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23815,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",,КА-00005708,,"Внешний батарейный блок APC SRT192BP2 (AGM, 10Ah)",БЛОКAPCSRT192BP2,yes,0.95,sig+brand,КА-00005708,agree,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23818,"Аккумулятор APCRBC141 для ИБП APC (GEL, 5Ah)",,КА-00003237,,Аккумулятор свинцовый APCRBC141 (12В/5 Ач),APCRBC141,yes,0.6,sig+brand+generic,КА-00003237,agree,confidence_not_0_95;generic_match_method,rb-1c-review-v1
23840,"Внешний батарейный блок APC SMX120BP (AGM, 5Ah)",20089,КА-00005195,,"EnerSys Cyclon X Cell (AGM, 5 Ah, 2V)",AGM5AH,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23938,"Аккумулятор Keheng Battery KH-ES-4850R1 (LiFePO4, 50Ah, 51.2V)",23937,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new,confidence_not_0_95;brand_not_confirmed;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23939,"Аккумулятор Keheng Battery KH-ES-4850R2 (LiFePO4, 50Ah, 51.2V)",23937,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new,confidence_not_0_95;brand_not_confirmed;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23940,"Аккумулятор Keheng Battery KH-ES-48100R1 (LiFePO4, 100Ah, 51.2V)",23937,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new,confidence_not_0_95;brand_not_confirmed;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23941,"Аккумулятор Keheng Battery KH-ES-48200R1 (LiFePO4, 200Ah, 51.2V)",23937,КА-00005276,,Аккумулятор LiFePO4 200Ah TBB Power M12-200/H,LIFEPO4200AH,no,0.95,sig,КА-00005276,agree,brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23943,"Аккумулятор Deye SE-G5.1PRO (LiFePO4, 100Ah, 51.2V)",23942,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new,confidence_not_0_95;brand_not_confirmed;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
23944,"Аккумулятор PCEnersys 4850 (LiFePO4, 100Ah, 48V)",23945,КА-00000063,,"Аккумулятор Lifepo4 IFR18650 3,7V 1500mah (Китай)",LIFEPO4,no,0.6,sig+generic,,new,confidence_not_0_95;brand_not_confirmed;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
24448,"Аккумулятор Contact GP 12-12 (AGM, 12Ah)",,КА-00001379,О4.2.52.24.,"Аккумулятор CONTACT GP 12-7 F1 (12V/7Ah),ВЬЕТНАМ",CONTACTGP12,yes,0.6,sig+brand+generic,КА-00000141,differ,confidence_not_0_95;generic_match_method;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
24449,"Аккумулятор Contact GP 12-7 (AGM, 7Ah)",,КА-00001379,О4.2.52.24.,"Аккумулятор CONTACT GP 12-7 F1 (12V/7Ah),ВЬЕТНАМ",CONTACTGP127,yes,0.95,sig+brand,КА-00000302,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
24450,"Аккумулятор Contact КТ 12-40 (AGM, 40Ah)",24444,КА-00000316,,Аккумуляторная батарея GPL 12-40 AGM/CONTACT/Вьетнам/,1240AGM,no,0.85,sig,,new,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
24451,"Аккумулятор Contact КТ 12-7 (AGM, 7Ah)",24444,КА-00000302,,Аккумулятор GP 12-7 AGM/CONTACT  /Вьетнам/,127AGM,no,0.6,sig+generic,,new,confidence_not_0_95;brand_not_confirmed;generic_match_method,rb-1c-review-v1
24518,"Аккумулятор EnerSys Cyclon E Cell (AGM, 8 Ah, 2V)",,КА-00005894,,"Аккумулятор EnerSys Cyclon Monobloc 0859-0010 (AGM, 8Ah, 4V) / США",AGM8AH,yes,0.95,sig+brand,КА-00005195,differ,one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
24519,"Аккумулятор EnerSys Cyclon DT Cell (AGM, 4.5 Ah, 2V)",,КА-00003890,,"Аккумулятор Ventura GPL 12-45 (AGM, 45Ah), ВЬЕТНАМ",AGM45AH,no,0.85,sig,КА-00005195,differ,confidence_not_0_95;brand_not_confirmed;one_c_code_maps_multiple_bitrix_ids,rb-1c-review-v1
