Bitrix ID,Название (как на сайте),Ссылка на сайте,Категория (предложено),Цена BYN,В наличии,Бренд? (кандидат),MPN? (кандидат),1С/supplier ID (из 1С),SKU (из 1С),MPN подтв. (из 1С),Категория подтв. (из 1С)
23824,"Аккумулятор APC RBC8 (GEL, 7.5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23824/,akb-dlya-ibp,1200,Y,APC,RBC8,,,,
23794,"Аккумулятор APC SYBT5 (AGM, 7.2Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/23794/,akb-dlya-ibp,4650,Y,APC,SYBT5,,,,
23786,"Аккумулятор APCRBC132 для ИБП APC (GEL, 7.2Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23786/,akb-dlya-ibp,2230,Y,APC,APCRBC132,,,,
23785,"Аккумулятор APCRBC133 для ИБП APC (GEL, 9Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23785/,akb-dlya-ibp,1720,Y,APC,APCRBC133,,,,
23821,"Аккумулятор APCRBC135 для ИБП APC (GEL, 5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23821/,akb-dlya-ibp,420,Y,APC,APCRBC135,,,,
23820,"Аккумулятор APCRBC136 для ИБП APC (GEL, 5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23820/,akb-dlya-ibp,1724,Y,APC,APCRBC136,,,,
23818,"Аккумулятор APCRBC141 для ИБП APC (GEL, 5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/gelevye/23818/,akb-dlya-ibp,1035,Y,APC,APCRBC141,,,,
2719,"Аккумулятор Alarm Force FB 1.2-12 (AGM, 1.2Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/2719/,akb-dlya-ibp,20.12,Y,Alarm Force,FB 1.2-12,,,,
2776,"Аккумулятор Alarm Force FB 12-12 (AGM, 12Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/2776/,akb-dlya-ibp,78.5,Y,Alarm Force,FB 12-12,,,,
2848,"Аккумулятор Alarm Force FB 18-12 (AGM, 18Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/2848/,akb-dlya-ibp,114.25,Y,Alarm Force,FB 18-12,,,,
2999,"Аккумулятор Alarm Force FB 4.5-12 (AGM, 4.5Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/2999/,akb-dlya-ibp,36.5,Y,Alarm Force,FB 4.5-12,,,,
3026,"Аккумулятор Alarm Force FB 40-12 (AGM, 40Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/3026/,akb-dlya-ibp,202.65,Y,Alarm Force,FB 40-12,,,,
3168,"Аккумулятор Alarm Force FB 7.2-12 (AGM, 7.2Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/3168/,akb-dlya-ibp,38.85,Y,Alarm Force,FB 7.2-12,,,,
1526,"Аккумулятор B.B. Battery BC 17-12 (AGM, 17Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/1526/,akb-dlya-ibp,199,Y,B.B. Battery,BC 17-12,,,,
1645,"Аккумулятор B.B. Battery BC 7-12 (AGM, 7Ah)",https://microchips.by/catalog/akkumulyatory/dlya_ibp/agm/1645/,akb-dlya-ibp,81,Y,B.B. Battery,BC 7-12,,,,
