Bitrix ID,Название сайта,Бренд,1С-код,1С-Артикул,1С-Наименование,signature,brand_ok,confidence,method,1С-код(было Cursor),сравнение,queue_status,review_required,selection_rule_version
1439,"Аккумулятор Ventura VG 12-100 для ИБП (GEL, 100Ah)",,КА-00005514,,Аккумулятор Ventura VG 12-100 /Китай/,VENTURAVG12100,yes,0.95,sig+brand,КА-00005514,agree,review_candidate,yes,rb-1c-review-v1
1457,"Аккумулятор Ventura GP 6-12 (AGM, 12Ah)",,КА-00003397,,Аккумуляторная батарея Ventura GP6-12/Китай,VENTURAGP612,yes,0.95,sig+brand,КА-00003397,agree,review_candidate,yes,rb-1c-review-v1
1469,"Аккумулятор Fiamm 6SLA125 (AGM, 125Ah)",,КА-00003889,,Аккумулятор свинцовый Fiamm 6SLA125/ Китай,FIAMM6SLA125,yes,0.95,sig+brand,КА-00003889,agree,review_candidate,yes,rb-1c-review-v1
1475,"Аккумулятор Delta DT 1212 (AGM, 12Ah)",,ФР-00000243,DT1212,Аккумуляторная батарея Delta DT1212 12В 12Ач  Страна ввоза: РФ,DELTADT1212,yes,0.95,sig+brand,ФР-00000243,agree,review_candidate,yes,rb-1c-review-v1
1476,"Аккумулятор Delta DT 612 (AGM, 12Ah)",,ФР-00000233,DT612,"Аккумуляторная батарея Delta DT 612 6В, 12Ач Страна ввоза: РФ.",DELTADT612,yes,0.95,sig+brand,ФР-00000233,agree,review_candidate,yes,rb-1c-review-v1
1488,"Аккумулятор Fiamm FG21202 (AGM, 12Ah)",,ФР-00001439,,Аккумуляторная батарея FIAMM FG21202 12V/12Ah,FIAMMFG21202,yes,0.95,sig+brand,ФР-00001439,agree,review_candidate,yes,rb-1c-review-v1
1504,"Аккумулятор Delta DTM 12150 L (AGM, 150Ah)",,ФР-00002021,,"Аккумуляторная батарея Delta DTM 12150L 12В 150Ач, изг.Вьетнам, страна ввоза Россия",DELTADTM12150L,yes,0.95,sig+brand,ФР-00002021,agree,review_candidate,yes,rb-1c-review-v1
1511,"Аккумулятор Fiamm 4SLA150 (AGM, 150Ah)",,КА-00003136,,Аккумуляторная батарея  4SLA150 4V/150Ah,4SLA150,yes,0.95,sig+brand,КА-00003136,agree,review_candidate,yes,rb-1c-review-v1
1515,"Аккумулятор Ventura FT 12-150 для ИБП (GEL, 150Ah)",,КА-00005572,,Аккумулятор Ventura FT 12-150 (12V 150Ah)/Китай,VENTURAFT12150,yes,0.95,sig+brand,КА-00005572,agree,review_candidate,yes,rb-1c-review-v1
1516,"Аккумулятор Ventura GPL 12-150 (AGM, 150Ah)",,КА-00003228,,Аккумуляторная батарея Ventura gpl 12-150/Китай,VENTURAGPL12150,yes,0.95,sig+brand,КА-00003228,agree,review_candidate,yes,rb-1c-review-v1
1520,"Аккумулятор Delta DTM 1215 (AGM, 15Ah)",,КА-00001967,,Аккумулятор Delta DTM 1215,DELTADTM1215,yes,0.95,sig+brand,КА-00001967,agree,review_candidate,yes,rb-1c-review-v1
1527,"Аккумулятор Delta DTM 1217 (AGM, 17Ah)",,ФР-00001089,,Аккумуляторная батарея Delta DTM1217 12В 17Ач Пр-во: Гонконг. Ввоз: РФ.,DELTADTM1217,yes,0.95,sig+brand,КА-00001792,differ,review_candidate,yes,rb-1c-review-v1
1532,"Аккумулятор Fiamm 12FIT180 (AGM, 180Ah)",,КА-00004091,,Аккумулятор Fiamm 12FIT180 /Китай/,FIAMM12FIT180,yes,0.95,sig+brand,КА-00004091,agree,review_candidate,yes,rb-1c-review-v1
1542,"Аккумулятор Fiamm FG21803 (AGM, 18Ah)",,ФР-00001513,,Аккумуляторная батарея FIAMM FG21803 12V/18Ah,FIAMMFG21803,yes,0.95,sig+brand,ФР-00001513,agree,review_candidate,yes,rb-1c-review-v1
1548,"Аккумулятор Delta DT 12022 (AGM, 2.2Ah)",,ФР-00000050,О1.1.52.29.,"Аккумуляторная батарея Delta DT12022 12В 2,2Ач Пр-во: Гонконг. Ввоз: РФ.",DELTADT12022,yes,0.95,sig+brand,КА-00001151,differ,review_candidate,yes,rb-1c-review-v1
1549,"Аккумулятор Delta DTM 12022 (AGM, 2.2Ah)",,ФР-00000748,,"Аккумуляторная батарея Delta DTM12022 12В 2,2Ач Пр-во: Гонконг. Ввоз: РФ.",DELTADTM12022,yes,0.95,sig+brand,КА-00002626,differ,review_candidate,yes,rb-1c-review-v1
1556,"Аккумулятор Delta DT 6028 (AGM, 2.8Ah)",,КА-00001147,,Аккумуляторная батарея Delta DT 6028 Delta 06S5125 /Китай/,DELTADT6028,yes,0.95,sig+brand,КА-00001147,agree,review_candidate,yes,rb-1c-review-v1
1563,"Аккумулятор Ventura GPL 12-200 (AGM, 200Ah)",,КА-00003696,,"Аккумуляторная батарея Ventura GPL 12-200, ВЬЕТНАМ",VENTURAGPL12200,yes,0.95,sig+brand,КА-00003696,agree,review_candidate,yes,rb-1c-review-v1
1564,"Аккумулятор Ventura VG 12-200 для ИБП (GEL, 200Ah)",,КА-00004855,,аккумулятор Ventura VG 12-200,VENTURAVG12200,yes,0.95,sig+brand,КА-00004855,agree,review_candidate,yes,rb-1c-review-v1
1578,"Аккумулятор Ventura GPL 12-26 (AGM, 26Ah)",,КА-00002167,Р3.1.52.73,"Аккумулятор Ventura GPL 12-26 (12V/26Ah), ВЬЕТНАМ",VENTURAGPL1226,yes,0.95,sig+brand,КА-00000321,differ,review_candidate,yes,rb-1c-review-v1
1581,"Аккумулятор Ventura HRL 12155W (AGM, 28Ah)",,КА-00005523,,Аккумулятор Ventura HRL12155W/Китай,VENTURAHRL12155W,yes,0.95,sig+brand,КА-00005523,agree,review_candidate,yes,rb-1c-review-v1
1590,"Аккумулятор B.B. Battery HR 33-12 (AGM, 33Ah)",,КА-00003582,,Аккумулятор Bb battery HR 33-12/Китай,BATTERYHR3312,yes,0.95,sig+brand,КА-00003582,agree,review_candidate,yes,rb-1c-review-v1
1598,"Аккумулятор Panasonic UP-VW1220P1 (AGM, 4Ah)",,КА-00003724,,Аккумулятор свинцовый UP-VW1220P1 12V 4Ah /Китай/,UPVW1220P1,yes,0.95,sig+brand,КА-00005218,differ,review_candidate,yes,rb-1c-review-v1
1614,"Аккумулятор B.B. Battery BP 5-12 (AGM, 5Ah)",,КА-00003856,,Аккумулятор Bb battery BP 5-12,BATTERYBP512,yes,0.95,sig+brand,КА-00003856,agree,review_candidate,yes,rb-1c-review-v1
1615,"Аккумулятор Ventura GP 12-5 (AGM, 5Ah)",,КА-00002597,О3.2.52.73.,"Аккумулятор Ventura GP 12-5 (12V/5Ah), ВЬЕТНАМ",VENTURAGP125,yes,0.95,sig+brand,КА-00000318,differ,review_candidate,yes,rb-1c-review-v1
1618,"Аккумулятор B.B. Battery HRC 5.5-12 (AGM, 5.5Ah)",,КА-00003846,,"Аккумулятор B.B. Battery HRC 5,5-12",BBATTERYHRC5,yes,0.95,sig+brand,КА-00002822,differ,review_candidate,yes,rb-1c-review-v1
1620,"Аккумулятор Ventura GPL 12-55 (AGM, 55Ah)",,КА-00003229,,"Аккумуляторная батарея VENTURA GPL 12-55 F6, ВЬЕТНАМ",VENTURAGPL1255,yes,0.95,sig+brand,КА-00000854,differ,review_candidate,yes,rb-1c-review-v1
1628,"Аккумулятор Ventura GP 12-7.2 (AGM, 7.2Ah)",,КА-00002048,,"Аккумулятор VENTURA GP 12-7.2 (12V7.2АЧ), ВЬЕТНАМ",VENTURAGP127,yes,0.95,sig+brand,КА-00002048,agree,review_candidate,yes,rb-1c-review-v1
1632,"Аккумулятор Ventura GPL 12-75 (AGM, 75Ah)",,КА-00003227,,Аккумуляторная батарея Ventura GPL 12-75  /Китай,VENTURAGPL1275,yes,0.95,sig+brand,КА-00003227,agree,review_candidate,yes,rb-1c-review-v1
1633,"Аккумулятор B.B. Battery HR 9-6 (AGM, 8Ah)",,КА-00006069,,"Аккумулятор BB Battery HR 9-6 T2, Китай",BATTERYHR96,yes,0.95,sig+brand,КА-00003466,differ,review_candidate,yes,rb-1c-review-v1
1639,"Аккумулятор B.B. Battery HRC 1234W (AGM, 9Ah)",,КА-00001857,,"Аккумулятор BB Battery HRC 1234W F2, КИТАЙ",BATTERYHRC1234W,yes,0.95,sig+brand,КА-00001308,differ,review_candidate,yes,rb-1c-review-v1
1642,"Аккумулятор Ventura GP 12-9 (AGM, 9Ah)",,ФР-00001191,СК1209,Аккумуляторная батарея Ventura GP-12-9,VENTURAGP129,yes,0.95,sig+brand,ФР-00001191,agree,review_candidate,yes,rb-1c-review-v1
1692,"Аккумулятор Sonnenschein A502/10 S для ИБП (GEL, 10Ah)",,ФР-00001154,,Аккумуляторная батарея Sonnenschein A502/10 S,SONNENSCHEINA50210,yes,0.95,sig+brand,ФР-00001154,agree,review_candidate,yes,rb-1c-review-v1
1797,"Аккумулятор Ventura GP 12-2.3 (AGM, 2.3Ah)",,КА-00001752,П2.2.52.73.,"Аккумулятор Ventura GP 12-2,3 (12V/2,3Ah), ВЬЕТНАМ",VENTURAGP122,yes,0.95,sig+brand,КА-00001752,agree,review_candidate,yes,rb-1c-review-v1
2752,"Аккумулятор Sprinter XP12V3400 (AGM, 105Ah)",,КА-00002003,,Аккумуляторная батарея SPRINTER XP12V3400 (Португалия),SPRINTERXP12V3400,yes,0.95,sig+brand,КА-00002003,agree,review_candidate,yes,rb-1c-review-v1
2768,"Аккумулятор Восток PRO СК-12120 (AGM, 120Ah)",,ФР-00000162,СК12120,СК 12120 ВОСТОК Аккумуляторная батарея. Страна ввоза: РФ,СК12120,yes,0.95,sig+brand,ФР-00000162,agree,review_candidate,yes,rb-1c-review-v1
2829,"Аккумулятор CSB GP12170 (AGM, 17Ah)",,КА-00001750,П1.2.52.26.,"Аккумуляторная батарея CSB GP 12170 B1 (12V/17Ah), ВЬЕТНАМ",CSBGP12170,yes,0.95,sig+brand,КА-00000471,differ,review_candidate,yes,rb-1c-review-v1
2854,"Аккумулятор Восток PRO СК-1218 (AGM, 18Ah)",,ФР-00000462,,СК-1218 ВОСТОК Аккумуляторная батарея. Страна ввоза: РФ. Производство: Китай,СК1218,yes,0.95,sig+brand,ФР-00000462,agree,review_candidate,yes,rb-1c-review-v1
2891,"Аккумулятор Delta HR 12-80W (AGM, 20Ah)",,ФР-00002111,,"Аккумулятор Delta HR 12-80W, страна ввоза Россия",DELTAHR1280W,yes,0.95,sig+brand,ФР-00002111,agree,review_candidate,yes,rb-1c-review-v1
2892,"Аккумулятор Sonnenschein A412/20 G5 для ИБП (GEL, 20Ah)",,КА-00003713,,Аккумуляторная батарея Sonnenschein A412/20 G5,SONNENSCHEINA41220,yes,0.95,sig+brand,КА-00003713,agree,review_candidate,yes,rb-1c-review-v1
2912,"Аккумулятор CSB GP12260 (AGM, 26Ah)",,ФР-00001875,,Аккумуляторная батарея CSB GP 12260 F2 12V/26Ah,CSBGP12260,yes,0.95,sig+brand,ФР-00001875,agree,review_candidate,yes,rb-1c-review-v1
2915,"Аккумулятор Delta DTM 1226 (AGM, 26Ah)",,КА-00003468,,Аккумуляторная батарея DTM 1226 Delta,DTM1226,yes,0.95,sig+brand,КА-00003468,agree,review_candidate,yes,rb-1c-review-v1
2923,"Аккумулятор Security Force SF 1226 (AGM, 26Ah)",,КА-00003366,,Аккумулятор Security Force SF 1226 /Китай,FORCESF1226,yes,0.95,sig+brand,КА-00002402,differ,review_candidate,yes,rb-1c-review-v1
2924,"Аккумулятор Sprinter P12V600 (AGM, 26Ah)",,КА-00001647,,Аккумулятор Sprinter P12V600 (12V / 24Ah),SPRINTERP12V600,yes,0.95,sig+brand,КА-00001647,agree,review_candidate,yes,rb-1c-review-v1
2951,"Аккумулятор Delta DT 12032 (AGM, 3.3Ah)",,ФР-00000147,DT12032,"Аккумуляторная батарея Delta DT12032 12В 3,3Ач  Страна ввоза: РФ, Страна изготовитель: Вьетнам.",DELTADT12032,yes,0.95,sig+brand,ФР-00000147,agree,review_candidate,yes,rb-1c-review-v1
2952,"Аккумулятор Delta DT 6033 (AGM, 3.3Ah)",,ФР-00000052,,Аккумуляторная батарея Delta DT 6033 6В 3.3Ач (125мм) Страна ввоза: РФ,DELTADT6033,yes,0.95,sig+brand,КА-00002999,differ,review_candidate,yes,rb-1c-review-v1
2955,"Аккумулятор Delta DT 4035 (AGM, 3.5Ah)",,ФР-00000030,П1.3.52.29.,"Аккумуляторная батарея Delta DT 4035 4В 3,5Ач Страна ввоза: РФ, Страна изготовитель: Вьетнам.",DELTADT4035,yes,0.95,sig+brand,ФР-00000030,agree,review_candidate,yes,rb-1c-review-v1
2971,"Аккумулятор Delta DT 1233 (AGM, 33Ah)",,КА-00002817,,Аккумулятор Delta DT12-33,DELTADT1233,yes,0.95,sig+brand,КА-00002817,agree,review_candidate,yes,rb-1c-review-v1
3003,"Аккумулятор Delta DT 12045 (AGM, 4.5Ah)",,ФР-00000145,О3.2.52.29.,"Аккумуляторная батарея Delta DT 12045 12В 4,5Ач  Страна ввоза: РФ, Страна изготовитель: Гонконг.",DELTADT12045,yes,0.95,sig+brand,КА-00002148,differ,review_candidate,yes,rb-1c-review-v1
3005,"Аккумулятор Delta DT 6045 (AGM, 4.5Ah)",,ФР-00000091,0002\А3,"Аккумуляторная батарея Delta DT 6045 6В 4.5Ач Страна ввоза: РФ, Страна изготовитель: Китай.",DELTADT6045,yes,0.95,sig+brand,КА-00002996,differ,review_candidate,yes,rb-1c-review-v1
3010,"Аккумулятор Fiamm FG10451 (AGM, 4.5Ah)",,ФР-00001785,,Аккумуляторная батарея FIAMM FG10451 6V/4.5Ah,FIAMMFG10451,yes,0.95,sig+brand,ФР-00001785,agree,review_candidate,yes,rb-1c-review-v1
3028,"Аккумулятор CSB GPL12400 (AGM, 40Ah)",,КА-00004142,,"Аккумуляторная батарея CSB GPL 12400 12V/40Ah, Вьетнам/Китай",CSBGPL12400,yes,0.95,sig+brand,КА-00004142,agree,review_candidate,yes,rb-1c-review-v1
3029,"Аккумулятор Delta DT 1240 (AGM, 40Ah)",,ФР-00000946,DT1240,Аккумуляторная батарея Delta DT1240 12В 40Ач  Страна ввоза: РФ. Страна изг.: Вьетнам,DELTADT1240,yes,0.95,sig+brand,ФР-00000946,agree,review_candidate,yes,rb-1c-review-v1
3045,"Аккумулятор Sprinter P12V875 (AGM, 40Ah)",,КА-00004140,,Аккумуляторная батарея SPRINTER P12V875 (Португалия),SPRINTERP12V875,yes,0.95,sig+brand,КА-00004140,agree,review_candidate,yes,rb-1c-review-v1
3047,"Аккумулятор Fiamm 12FGL42 (AGM, 42Ah)",,КА-00003990,,Аккумулятор свинцовый FIAMM 12FGL42 (12V 42ah)/Китай,FIAMM12FGL42,yes,0.95,sig+brand,КА-00003990,agree,review_candidate,yes,rb-1c-review-v1
3053,"Аккумулятор Delta HRL 12-211W (AGM, 45Ah)",,КА-00002055,,Аккумуляторная батарея Delta HRL 12-211W (12V / 45Ah),DELTAHRL12211W,yes,0.95,sig+brand,КА-00002055,agree,review_candidate,yes,rb-1c-review-v1
3061,"Аккумулятор Delta HR 12-21W (AGM, 5Ah)",,КА-00003375,,Аккумулятор Delta HR 1221 W F2 /Китай,DELTAHR1221W,yes,0.95,sig+brand,КА-00000258,differ,review_candidate,yes,rb-1c-review-v1
3063,"Аккумулятор Fiamm 12FGH23 (AGM, 5Ah)",,КА-00001063,,"Аккумуляторная батарея FIAMM 12FGH 23 12V 5 Ah slim, Вьетнам",FIAMM12FGH23,yes,0.95,sig+brand,КА-00001063,agree,review_candidate,yes,rb-1c-review-v1
3093,"Аккумулятор Fiamm 12FGL55 (AGM, 55Ah)",,КА-00001855,,Fiamm 12FGL55 аккумуляторная батарея,FIAMM12FGL55,yes,0.95,sig+brand,КА-00001855,agree,review_candidate,yes,rb-1c-review-v1
3104,"Аккумулятор Sprinter XP12V1800 (AGM, 56Ah)",,ФР-00001954,,Аккумуляторная батарея Sprinter XP 12V1800 (Sprinter P 12V1220) c аксесуарами/ Португалия,SPRINTERXP12V1800,yes,0.95,sig+brand,ФР-00001954,agree,review_candidate,yes,rb-1c-review-v1
3109,"Аккумулятор Delta DT 606 (AGM, 6Ah)",,ФР-00000902,,"Аккумуляторная батарея Delta DT 606 6В 6Ач Страна ввоза: РФ, Страна изготовитель: Китай.",DELTADT606,yes,0.95,sig+brand,КА-00004088,differ,review_candidate,yes,rb-1c-review-v1
3130,"Аккумулятор Delta DT 1265 (AGM, 65Ah)",,КА-00001920,,Аккумуляторная батарея Delta DT 12-65  (12V 65Ah),DELTADT1265,yes,0.95,sig+brand,КА-00001920,agree,review_candidate,yes,rb-1c-review-v1
3131,"Аккумулятор Delta DTM 1265 L (AGM, 65Ah)",,КА-00002661,,Аккумуляторная батарея Delta  DTM 1265L,DELTADTM1265L,yes,0.95,sig+brand,КА-00002661,agree,review_candidate,yes,rb-1c-review-v1
3155,"Аккумулятор Delta DT 1207 (AGM, 7Ah)",,ФР-00000031,DT1207,"Аккумуляторная батарея Delta DT1207 12В, 7Ач Страна ввоза: РФ, Страна изготовитель: Вьетнам.",DELTADT1207,yes,0.95,sig+brand,ФР-00000031,agree,review_candidate,yes,rb-1c-review-v1
3156,"Аккумулятор Delta DTM 607 (AGM, 7Ah)",,ФР-00000414,О2.3.52.29.,Аккумулятор Delta DTM 607 6V 7Ah. Ввоз: РФ произ-во: Вьетнам,DELTADTM607,yes,0.95,sig+brand,КА-00001500,differ,review_candidate,yes,rb-1c-review-v1
3175,"Аккумулятор Delta HR 12-7.2 (AGM, 7.2Ah)",,КА-00003560,,Аккумуляторная батарея Delta HR 12-7.2 /Китай/,DELTAHR127,yes,0.95,sig+brand,КА-00003560,agree,review_candidate,yes,rb-1c-review-v1
3181,"Аккумулятор Fiamm FG20722 (AGM, 7.2Ah)",,ФР-00001438,,Аккумуляторная батарея FIAMM FG20722 12V/7.2Ah,FIAMMFG20722,yes,0.95,sig+brand,ФР-00001438,agree,review_candidate,yes,rb-1c-review-v1
3192,"Аккумулятор Panasonic LC-R127R2PG1 (AGM, 7.2Ah)",,ФР-00001144,,"Аккумуляторная батарея Panasonic LC-R127R2PG1 12В, 7,2Ач",LCR127R2PG1,yes,0.95,sig+brand,ФР-00001144,agree,review_candidate,yes,rb-1c-review-v1
3197,"Аккумулятор Восток СК-1207 (AGM, 7.2Ah)",,ФР-00000537,,СК-1207 Восток аккумуляторная батарея,СК1207,yes,0.95,sig+brand,ФР-00000537,agree,review_candidate,yes,rb-1c-review-v1
3205,"Аккумулятор Sprinter XP12V2500 (AGM, 69Ah)",,ФР-00002243,,Аккумуляторная батарея SPRINTER XP12V2500 (Португалия),SPRINTERXP12V2500,yes,0.95,sig+brand,ФР-00002243,agree,review_candidate,yes,rb-1c-review-v1
3230,"Аккумулятор Delta CT 1208 (AGM, 8Ah)",,ФР-00001000,,"CT 1208 Delta Аккумуляторная батарея, изг. ГОНКОНГ, страна ввоза Р",CT1208,yes,0.95,sig+brand,ФР-00001000,agree,review_candidate,yes,rb-1c-review-v1
3247,"Аккумулятор CSB HRL12330W (AGM, 85Ah)",,КА-00005686,,Аккумулятор CSB HRL 12330W FR 12V/83Ah /Китай/,CSBHRL12330W,yes,0.95,sig+brand,КА-00005686,agree,review_candidate,yes,rb-1c-review-v1
3257,"Аккумулятор CSB HR1234W F2 (AGM, 9Ah)",,ФР-00001872,О3.1.52.26.,Аккумуляторная батарея CSB HR 1234W F2 12V/9Ah,CSBHR1234WF2,yes,0.95,sig+brand,КА-00000304,differ,review_candidate,yes,rb-1c-review-v1
3264,"Аккумулятор Delta HR 6-9 (AGM, 8.8Ah)",,ФР-00000240,0008\A3,Аккумуляторная батарея Delta HR 6-9,DELTAHR69,yes,0.95,sig+brand,КА-00002119,differ,review_candidate,yes,rb-1c-review-v1
3266,"Аккумулятор Fiamm 12FGH36 (AGM, 9Ah)",,ФР-00002108,,Батарея FIAMM 12FGH36 12V 9Ah,FIAMM12FGH36,yes,0.95,sig+brand,ФР-00002108,agree,review_candidate,yes,rb-1c-review-v1
3273,"Аккумулятор Восток PRO СК-1209 (AGM, 9Ah)",,ФР-00000163,СК1209,СК-1209 ВОСТОК Аккумуляторная батарея. Страна ввоза: РФ. Производство: Китай,СК1209,yes,0.95,sig+brand,ФР-00000163,agree,review_candidate,yes,rb-1c-review-v1
3736,"Аккумулятор Восток PRO СК-1212 (AGM, 12Ah)",,ФР-00000415,,СК-1212  ВОСТОК Аккумуляторная батарея. Страна ввоза: РФ. Производство: Китай,СК1212,yes,0.95,sig+brand,ФР-00000415,agree,review_candidate,yes,rb-1c-review-v1
20088,"Аккумулятор APC RBC7 (AGM, 17Ah)",,КА-00003292,,Аккумулятор свинцовый APC RBC7,APCRBC7,yes,0.95,sig+brand,КА-00003292,agree,review_candidate,yes,rb-1c-review-v1
20100,"Аккумулятор APC RBC17 (AGM, 9Ah)",,КА-00003832,,Комплект аккумуляторов APC RBC17,APCRBC17,yes,0.95,sig+brand,КА-00003832,agree,review_candidate,yes,rb-1c-review-v1
20103,"Аккумулятор APC RBC123 (AGM, 7Ah)",,КА-00005774,,Аккумулятор APC RBC123 24V 7AH /Китай/,APCRBC123,yes,0.95,sig+brand,КА-00005774,agree,review_candidate,yes,rb-1c-review-v1
20114,"Аккумулятор Delta DTM 1265 I (AGM, 65Ah)",,КА-00003969,,Аккумуляторная батарея Delta DTM 12-65 L(12V 65Ah),DELTADTM1265,yes,0.95,sig+brand,КА-00002704,differ,review_candidate,yes,rb-1c-review-v1
20118,"Аккумулятор Delta DTM 12150 I (AGM, 150Ah)",,КА-00004518,,Аккумулятор DTM 12150 L Delta (12V / 150Ah) / Вьетнам,DTM12150,yes,0.95,sig+brand,КА-00004518,agree,review_candidate,yes,rb-1c-review-v1
20127,"Аккумулятор Delta CGD 1208 (AGM, 8Ah)",,КА-00003766,,Аккумуляторная батарея CGD 1208 Delta /Вьетнам/,CGD1208,yes,0.95,sig+brand,КА-00003766,agree,review_candidate,yes,rb-1c-review-v1
20129,"Аккумулятор Delta CGD 1233 (AGM, 33Ah)",,КА-00003445,,Аккумуляторная батарея CGD 1233 Delta,CGD1233,yes,0.95,sig+brand,КА-00003445,agree,review_candidate,yes,rb-1c-review-v1
20130,"Аккумулятор Delta CGD 1255 (AGM, 55Ah)",,КА-00003830,,Аккумуляторная батарея CGD 1255 Delta,CGD1255,yes,0.95,sig+brand,КА-00003830,agree,review_candidate,yes,rb-1c-review-v1
20131,"Аккумулятор Delta CGD 12100 (AGM, 100Ah)",,КА-00002061,,Аккумулятор карбоновый Delta CGD 12-100,DELTACGD12100,yes,0.95,sig+brand,КА-00002061,agree,review_candidate,yes,rb-1c-review-v1
20132,"Аккумулятор Delta CGD 12200 (AGM, 200Ah)",,КА-00003564,,Аккумуляторная батарея Delta CGD 12200 (12V / 200Ah),DELTACGD12200,yes,0.95,sig+brand,КА-00003564,agree,review_candidate,yes,rb-1c-review-v1
20149,"Аккумулятор Delta FT 12-100 M (AGM, 100Ah)",,КА-00004962,,Аккумуляторная батарея Delta FT 12-100 M /Китай,DELTAFT12100,yes,0.95,sig+brand,КА-00004962,agree,review_candidate,yes,rb-1c-review-v1
20156,"Аккумулятор Delta XPERT HRL 12-670 W (AGM, 150Ah)",,КА-00004981,,"Аккумуляторня батарея Delta HRL 12-670W, DKW0839 /Вьетнам/",HRL12670W,yes,0.95,sig+brand,КА-00000259,differ,review_candidate,yes,rb-1c-review-v1
20159,"Аккумулятор Delta XPERT HRL 12-480 W (AGM, 100Ah)",,КА-00002769,,Аккумуляторная батарея Delta HRL 12-480 W,HRL12480W,yes,0.95,sig+brand,КА-00002769,agree,review_candidate,yes,rb-1c-review-v1
20162,"Аккумулятор Delta XPERT HRL 12-170W (AGM, 33Ah)",,КА-00005871,,Аккумуляторная батарея Delta HRL 12-170W /Вьетнам/,HRL12170W,yes,0.95,sig+brand,КА-00005871,agree,review_candidate,yes,rb-1c-review-v1
20171,"Аккумулятор Delta XPERT HRL 12-211 W (AGM, 45Ah)",,КА-00002073,,"Аккумуляторная батарея Delta HRL 12-211 W , 88QMH51 /Вьетнам/",HRL12211W,yes,0.95,sig+brand,КА-00002073,agree,review_candidate,yes,rb-1c-review-v1
20186,"Аккумулятор Delta XPERT STC 500 (AGM, 500Ah)",,КА-00003297,,"Аккумулятор Delta STC 500, 2V 500Ah",STC500,yes,0.95,sig+brand,КА-00003297,agree,review_candidate,yes,rb-1c-review-v1
23799,"Аккумулятор APC RBC23 (AGM, 7Ah)",,КА-00005164,,Аккумулятор свинцовый APC RBC23 /Китай/,APCRBC23,yes,0.95,sig+brand,КА-00005164,agree,review_candidate,yes,rb-1c-review-v1
23803,"Аккумулятор APC APCRBC152 (AGM, 48V, 36Ah)",,КА-00003238,,Аккумулятор свинцовый APCRBC152 (48В/36 А·ч),APCRBC152,yes,0.95,sig+brand,КА-00003238,agree,review_candidate,yes,rb-1c-review-v1
