Bitrix ID,Название,Раздел (путь),Ссылка на сайт,Ёмкость (из названия),Напряжение (из названия),Технология (из названия),Бренд? (кандидат),MPN? (кандидат),Цена BYN (бэкап 2026-06-23),Статус цены,В наличии (бэкап),🟥 1С-код (заполнить),🟥 SKU (заполнить)
11253,Аккумулятор для Cardinal Health CJB-720 (78904585) 750mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardinal-medical,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardinal-medical/11253/,750mAh,,,,,,нет данных в бэкапе,,,
11254,"Аккумулятор для Cardinal Health CJB-723 (750mAh, 3.6V)",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardinal-medical,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardinal-medical/11254/,750mAh,3.6V,,,,,нет данных в бэкапе,,,
11255,"Аккумулятор для Cardioline Delta 1 Plus, Delta 3 Plus 2000mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline/11255/,2000mAh,,,,,,нет данных в бэкапе,,,
11256,Аккумулятор для Cardioline ECG AR2100 View (110699) 2000mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline/11256/,2000mah,,,,,,нет данных в бэкапе,,,
11257,"Аккумулятор для Cardioline ECG Delta 60, ECG Delta 60Plus 1300mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardioline/11257/,1300mAh,,,,,,нет данных в бэкапе,,,
11258,Аккумулятор для CardioNova Pump 2001 3000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardionova,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cardionova/11258/,3000mAh,,,,,,нет данных в бэкапе,,,
11259,Аккумулятор для Care Vision OM-100 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/care-vision,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/care-vision/11259/,2000mAh,,,,,,нет данных в бэкапе,,,
11260,"Аккумулятор для Carejoy H8, V7 (SNLB-264) 2500mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carejoy,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carejoy/11260/,2500mah,,,,,,нет данных в бэкапе,,,
11261,Аккумулятор для Carestream DRX-1 2100mah,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carestream,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carestream/11261/,2100mah,,,,,,нет данных в бэкапе,,,
11262,Аккумулятор для Carewell ECG-1101 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carewell,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carewell/11262/,2000mAh,,,,,,нет данных в бэкапе,,,
11263,"Аккумулятор для Carewell ECG-1103, ECG-1106 2600mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carewell,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carewell/11263/,2600mah,,,,,,нет данных в бэкапе,,,
11264,"Аккумулятор для Carewell ECG-1103, ECG-1106 3400mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carewell,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/carewell/11264/,3400mah,,,,,,нет данных в бэкапе,,,
11265,"Аккумулятор для CAS Medical 940X Monitor, NIBP 730 3800mAh",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cas-medical-systems,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cas-medical-systems/11265/,3800mAh,,,,,,нет данных в бэкапе,,,
11266,"Аккумулятор для Cefar Myo 4 Max, Globus Activa 300 2000mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cefar,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cefar/11266/,2000mah,,,,,,нет данных в бэкапе,,,
11267,Аккумулятор для ChoiceMMed MMED6000DP-M7 2000mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/choicemmed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/choicemmed/11267/,2000mAh,,,,,,нет данных в бэкапе,,,
11268,"Аккумулятор для Circadiance SmartMonitor 2PS, 2PSL (1023384) 5200mah",akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/circadiance,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/circadiance/11268/,5200mah,,,,,,нет данных в бэкапе,,,
11269,Аккумулятор для CME BodyGuard 323 1700mAh,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cme,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/cme/11269/,1700mAh,,,,,,нет данных в бэкапе,,,
